"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACY","AeroCentury Corp.","14.7","20825475.3","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"BGSF","BG Staffing Inc","17.2","150661267.2","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/bgsf",
"BDR","Blonder Tongue Laboratories, Inc.","0.43","3492389.05","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr",
"CVR","Chicago Rivet & Machine Co.","31.55","30481464.6","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvr",
"EMAN","eMagin Corporation","2.2","76939676","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/eman",
"JOB","GEE Group Inc.","3.38","33390654.96","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/job",
"GSB","GlobalSCAPE, Inc.","4.12","88875943.72","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gsb",
"GVP","GSE Systems, Inc.","3.45","66387197.7","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gvp",
"IEC","IEC Electronics Corp.","4.78","49331602.82","n/a","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/iec",
"IDN","Intellicheck, Inc.","2.45","36705000.85","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/idn",
"INS","Intelligent Systems Corporation","4.28","37569788.64","n/a","1992","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ins",
"LIQT","LiqTech International, Inc.","0.36","15922535.04","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/liqt",
"MJCO","Majesco","5.35","195422478.1","n/a","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mjco",
"TEUM","Pareteum Corporation","1.2001","17408076.9522","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/teum",
"RWC","RELM Wireless Corporation","3.7","51224960.8","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/rwc",
"TRT","Trio-Tech International","5.07","17861888.85","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/trt",
"VISI","Volt Information Sciences, Inc.","2.805","58932912.555","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/visi",
"WYY","WidePoint Corporation","0.6211","51518286.6717","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/wyy",
"ZDGE","Zedge, Inc.","2.01","19391752.38","n/a","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/zdge",
