"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","7.69","459030195.77","59691833","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","60.03","3120419069.82","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"DDD","3D Systems Corporation","12.96","1474851227.04","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"JOBS","51job, Inc.","61.73","1653954791.83","26793371","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"WUBA","58.com Inc.","65.32","9508924641.68","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba",
"ATEN","A10 Networks, Inc.","7.63","539946449.35","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten",
"AAN","Aaron&#39;s,  Inc.","42.96","3117963810.96","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ACIA","Acacia Communications, Inc.","46.2","1812339375","n/a","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia",
"ACIW","ACI Worldwide, Inc.","23.99","2835733247.96","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ATVI","Activision Blizzard, Inc","61.36","46321963236.64","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ACTA","Actua Corporation","15.85","519880000","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta",
"ATU","Actuant Corporation","26.2","1564037427","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"ACXM","Acxiom Corporation","24.69","1970514628.08","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"IOTS","Adesto Technologies Corporation","8.35","174877364.95","n/a","2015","Technology","Semiconductors","http://www.nasdaq.com/symbol/iots",
"ADBE","Adobe Systems Incorporated","153.65","75740694101.1","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"AMD","Advanced Micro Devices, Inc.","13.88","13141293061.32","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ASX","Advanced Semiconductor Engineering, Inc.","6.34","10490856385.06","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"AER","Aercap Holdings N.V.","52","8497768552","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"ACY","AeroCentury Corp.","14.7","20825475.3","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"HIVE","Aerohive Networks, Inc.","4.11","221420779.59","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/hive",
"AGYS","Agilysys, Inc.","12.69","296840190.78","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys",
"AL","Air Lease Corporation","43.84","4524815745.92","n/a","2011","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/al",
"AYR","Aircastle Limited","23.99","1888341782.95","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ayr",
"AIRG","Airgain, Inc.","9.29","88666175.4","n/a","2016","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/airg",
"AMCN","AirMedia Group Inc","2.51","113396149.99","45177749","2007","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"ALRM","Alarm.com Holdings, Inc.","48.1","2246662784.6","n/a","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/alrm",
"ALLT","Allot Communications Ltd.","5.2","172194776","n/a","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt",
